question_text;answer_text;poryadkovyi_numbar
Включается ли представитель выборного органа соответствующей первичной профсоюзной организации в состав аттестационной комиссии при проведении аттестации, которая может послужить основанием для увольнения работников? (Ст. 82.);В обязательном порядке включается;1
В каком случае требуется обязательное участие выборного органа первичной профсоюзной организации в рассмотрении вопросов, связанных с расторжением трудового договора по инициативе работодателя? (Ст. 82.);При принятии решения о сокращении численности или штата работников организации;1
Какова нормальная продолжительность рабочего времени? (Ст. 91.);40 часов в неделю;3
Какова продолжительность ежедневной работы (смены) для работников в возрасте от 16 до 18 лет? (Ст. 94.);7 часов;3
Кто не допускается к работе в ночное время? (Ст. 96.);Все перечисленные ответы верны;3
Какое количество часов не должна превышать для каждого работника продолжительность сверхурочной работы? (Ст. 99.);Все перечисленные ответы верны;3
Допускается ли привлечение работодателем работника к сверхурочной работе по устранению обстоятельств, нарушающих нормальное функционирование систем водоснабжения, газоснабжения, отопления, освещения, канализации, транспорта, связи? (Ст. 99.);Допускается без согласия работника;2
Какова продолжительность ежегодного основного оплачиваемого отпуска, предоставляемого работникам? (Ст. 115);28 календарных дней;3
Какой период не включается в стаж работы, дающий право на ежегодный основной оплачиваемый отпуск? (Ст. 121.);Время предоставляемых по просьбе работника отпусков без сохранения заработной платы, если их общая продолжительность превышает 14 календарных дней в течение рабочего года;3
Допускается ли замена отпуска денежной компенсацией? (Ст. 126.);Допускается часть отпуска, превышающая 28 календарных дней, по письменному заявлению работника;5
Оплата труда каких работников производится в повышенном размере? (Ст. 146.);Занятых на тяжелых работах, работах с вредными, опасными и иными особыми условиями труда, на работах в местностях с особыми климатическими условиями;1
Как оплачивается работа в выходной или нерабочий праздничный день работникам, труд которых оплачивается по дневным и часовым тарифным ставкам? (Ст. 153.);В размере не менее двойной дневной или часовой тарифной ставки;1
Выплачивается ли выходное пособие работникам, уволенным в связи с сокращением численности или штата работников организации? (Ст. 178.);Выплачивается в размере среднемесячного заработка;3
Кому из работников, имеющих равную производительность и квалификацию, не отдается предпочтения в оставлении на работе при сокращении численности или штата? (Ст. 179.);Работникам, награжденным правительственными наградами;4
В течение какого срока сохраняется средний заработок при переводе работника, нуждающегося в соответствии с медицинским заключением в предоставлении другой работы, на другую нижеоплачиваемую работу у данного работодателя? (Ст. 182.);В течение одного месяца со дня перевода;2
Какие дисциплинарные взыскания имеет право применить работодатель за совершение дисциплинарного проступка, то есть неисполнение или ненадлежащее исполнение работником по его вине возложенных на него трудовых обязанностей? (Ст. 192.);Все перечисленные ответы верны;4
В какой срок может быть применено дисциплинарное взыскание на работника за совершение дисциплинарного проступка? (Ст. 193.);Все перечисленные ответы верны;3
В течение какого времени приказ (распоряжение) работодателя о применении дисциплинарного взыскания объявляется работнику под роспись? (Ст. 193.);Трех рабочих дней со дня его издания, не считая времени отсутствия работника на работе;1
На кого возлагаются обязанности по обеспечению безопасных условий и охраны труда? (ст. 212.);На работодателя;1
Что обязан обеспечить работодатель? (Ст. 212.);Все перечисленное, а также недопущение к работе лиц, не прошедших в установленном порядке обучение и инструктаж по охране труда, стажировку и проверку знаний требований охраны труда,  а также наличие комплекта нормативных правовых актов, содержащих требования охраны труда в соответствии со спецификой своей деятельности;4
Каковы обязанности работника в области охраны труда? (Ст. 214.);Все перечисленное, а также соблюдать требования охраны труда, правильно применять средства индивидуальной и коллективной защиты;4
При какой численности работников работодатель, осуществляющий производственную деятельность, создает службу охраны труда или вводит должность специалиста по охране труда, имеющего соответствующую подготовку или опыт работы в этой области? (Ст. 217.);Более 50 человек;1
По чьей инициативе у работодателя создаются комитеты (комиссии) по охране труда? (Ст. 218.);Работодателя и (или) работников либо их представительного органа;3
Устанавливаются ли гарантии и компенсации работникам в случае обеспечения на рабочих местах безопасных условий труда, подтвержденных результатами специальной оценки условий труда или заключением государственной экспертизы условий труда? (ст. 219.);Не устанавливаются;1
Какие права имеет каждый работник в области охраны труда? (Ст. 219.);Все перечисленное, а также на отказ от выполнения работ в случае возникновения опасности для его жизни и здоровья вследствие нарушения требований охраны труда, а также на обеспечение средствами индивидуальной и коллективной защиты в соответствии с требованиями охраны труда за счет средств работодателя;4
Кто гарантирует работникам защиту их права на труд в условиях, соответствующих требованиям охраны труда? (Ст. 220.);Государство;1
Имеет ли право работодатель требовать от работника исполнения трудовых обязанностей в случае необеспечения работника в соответствии с установленными нормами средствами индивидуальной и коллективной защиты? (Ст. 220.);Не имеет;1
На каких работах работникам бесплатно выдаются сертифицированные специальная одежда, специальная обувь и другие средства индивидуальной защиты, а также смывающие и (или) обезвреживающие средства? (Ст. 221.);С вредными и (или) опасными условиями труда, а также на работах, выполняемых в особых температурных условиях или связанных с загрязнением;3
На каких работах работникам выдаются бесплатно молоко или другие равноценные пищевые продукты? (Ст. 222.);С вредными условиями труда;1
Какую подготовку обязаны пройти все работники организации, в том числе ее руководитель? (Ст. 225.);Обучение по охране труда и проверку знания требований ОТ в порядке, установленном Правительством РФ с учетом мнения Российской трехсторонней комиссии по регулированию социально-трудовых отношений;2
Какие виды обучения обязаны проводить работодатель или уполномоченное им лицо для всех поступающих на работу лиц, а также для работников, переводимых на другую работу? (Ст. 225.);Все перечисленные ответы верны;4
Какие несчастные случаи, происшедшие с работниками и другими лицами, участвующими в производственной деятельности работодателя, подлежат расследованию и учету в соответствии с требованиями трудового кодекса РФ? (Ст. 227.);Все перечисленные ответы верны;3
В течении какого времени комиссией проводится расследование несчастного случая, в результате которого один или несколько пострадавших получили тяжелые повреждения здоровья, либо несчастного случая со смертельным исходом? (Ст. 229.);15 дней;3
Кем расследуется несчастный случай, происшедший с лицом, направленным для выполнения работы к другому работодателю и участвовавшим в его производственной деятельности? (Ст. 229.);Комиссией, образованной работодателем, у которого произошел несчастный случай;3
Кто включается дополнительно в состав комиссии по расследованию группового несчастного случая на производстве, тяжелого несчастного случая на производстве со смертельным исходом? (Ст. 229.);Все ответы верны;5
По какому несчастному случаю оформляется акт о несчастном случае на производстве по установленной форме? (Ст. 230.);Удовлетворяющему требованиям, изложенным во всех ответах;3
Кому направляются утвержденные акты о несчастном случае на производстве? (Ст. 230.);Во все указанные инстанции;4
В течение, какого времени акт о несчастном случае на производстве с материалами расследования подлежит хранению работодателем (его представителем), осуществляющим по решению комиссии учет данного несчастного случая на производстве? (Ст. 230.);В течение 45 лет;1
В каком размере несут работники материальную ответственность за ущерб, причиненный работодателю? (Ст. 238, Ст. 241.);В размере прямого действительного ущерба, но не более среднего месячного заработка, если иное не предусмотрено Трудовым Кодексом или иными федеральными законами;2
В каком порядке и в какой срок производится взыскание с виновного работника суммы причиненного ущерба, не превышающей среднего месячного заработка? (Ст. 248.);По распоряжению работодателя, которое может быть сделано не позднее одного месяца со дня окончательного установления работодателем размера причиненного работником ущерба;1
Кого из работников запрещается направлять в служебные командировки, привлекать к сверхурочной работе, работе в ночное время, выходные и нерабочие праздничные дни? (Ст. 259.);Беременных женщин;1
Допускается ли расторжение трудового договора по инициативе работодателя с беременными женщинами без их согласия? (Ст. 261.);Не допускается, за исключением случаев ликвидации организации либо прекращения деятельности индивидуальным предпринимателем;2
Какова продолжительность ежегодного отпуска для работников моложе 18 лет? (Ст. 267.);31 календарный день в удобное для них время;5
Кем осуществляется государственный надзор и контроль за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права? (Ст. 353.);Федеральной инспекцией труда;4
В какой срок работник может обратиться в комиссию по трудовым спорам в случае нарушения своего права? (Ст. 386.);В трехмесячный срок со дня, когда он узнал или должен был узнать о нарушении своего права;1
По истечении какого срока постановление по делу об административном правонарушении не может быть вынесено? (Ст. 4.5. );Двух месяцев (по делу об административном правонарушении, рассматриваемому судьей, - по истечении трех месяцев) со дня совершения административного правонарушения;1
Назовите срок, в течение которого лицо считается подвергнутым административному наказанию. (Ст. 4.6.);В течение одного года со дня окончания исполнения постановления о назначении административного наказания;5
Какова ответственность работодателя или лица, его представляющего, за нарушение или невыполнение обязательств по коллективному договору, соглашению? (Ст. 5.31.);Предупреждение или наложение административного штрафа в размере от трех тысяч до пяти тысяч рублей;1
Какова ответственность  за непредставление работодателем в срок, установленный законом, информации, необходимой для проведения коллективных переговоров и осуществления контроля за соблюдением коллективного договора? (Ст. 5.29.);Предупреждение или наложение административного штрафа в размере от одной тысячи до трех тысяч рублей;1
Что влечет за собой нарушение должностным лицом правил пожарной безопасности в лесах? (Ст. 8.32. часть 1.);Все перечисленные ответы верны;3
Что влечет за собой нарушение юридическим лицом правил пожарной безопасности в лесах? (Ст. 8.32. часть 1.);Все перечисленные ответы верны;3
Что влечет за собой нарушение должностным лицом правил пожарной безопасности в лесах, в условиях особого противопожарного режима? (Ст. 8.32. часть 3.);Наложение административного штрафа от десяти тысяч до двадцати тысяч рублей;2
Что влечет за собой нарушение юридическим лицом правил пожарной безопасности в лесах, в условиях особого противопожарного режима? (Ст. 8.32. част 3.);Наложение административного штрафа от ста тысяч до двухсот тысяч рублей;3
Какую административную ответственность несут должностные лица за нарушение требований проектной документации, технических регламентов, обязательных требований стандартов, строительных норм и правил, других нормативных документов в области строительства при строительстве, реконструкции, капитальном ремонте объектов капитального строительства, включая применение строительных материалов (изделий)? (ст. 9.4.);Наложение административного штрафа в размере от от пяти тысяч до десяти тысяч рублей;1
На какой срок может накладываться административное приостановление деятельности на юридических лиц за нарушение требований проектной документации, технических регламентов, обязательных требований стандартов, строительных норм и правил, других нормативных документов в области строительства при строительстве, реконструкции, капитальном ремонте объектов капитального строительства, включая применение строительных материалов (изделий)? (ст.  9.4.);До девяноста суток;1
Какую административную ответственность несут юридические лица за строительство, реконструкцию, капитальный ремонт объектов капитального строительства без разрешения на строительство в случае, если для осуществления строительства, реконструкции, капитального ремонта объектов капитального строительства предусмотрено получение разрешений на строительство? (ст. 9.5.);Наложение административного штрафа от пятисот тысяч до одного миллиона рублей или административное приостановление их деятельности на срок до девяноста суток;1
Какую административную ответственность несут должностные лица за эсплуатацию объекта капитального строительства без разрешения на ввод его в эксплуатацию, за исключением случаев, если для осуществления строительства, реконструкции, капитального ремонта объектов капитального строительства не требуется выдача разрешения на строительство? (ст. 9.5. );Наложение административного штрафа в размере от одной тысячи до двух тысяч рублей;1
Какое административное наказание юридического лица влечет нарушение правил безопасности при строительстве, эксплуатации или ремонте магистральных трубопроводов, а равно пуск их в эксплуатацию с техническими неисправностями? (Ст. 11.20.);Наложение административного штрафа от трех тысяч до пяти тысяч рублей или административное приостановление деятельности на срок до девяноста суток;1
Какова ответственность юридического лица за невыполнение в установленный срок законного предписания (постановления) органа (должностного лица), осуществляющего государственный надзор (контроль), об устранении нарушений законодательства? (Ст. 19.5. часть 1.);Наложение административного штрафа от десяти тысяч до двадцати тысяч рублей;1
Какова административная ответственность за неповиновение законному распоряжению или требованию должностного лица органа, осуществляющего государственный надзор (контроль)? (Ст. 19.4. часть 1.);"Предупреждение или наложение административного штрафа на граждан в размере от пятисот до одной тысячи рублей; на должностных лиц - от двух тысяч до четырех тысяч рублей";4
Что влечет за собой невыполнение должностным лицом в установленный срок законного предписания органа, осуществляющего государственный пожарный надзор? (Ст. 19.5. часть 12.);Наложение административного штрафа от трех тысяч до четырех тысяч рублей;2
Что влечет за собой невыполнение юридическим лицом в установленный срок законного предписания органа, осуществляющего государственный пожарный надзор? (Ст. 19.5 часть 1.);Наложение административного штрафа от семидесяти тысяч до восьмидесяти тысяч рублей;3
Что влечет за собой повторное совершение должностным лицом административного правонарушения, предусмотренного частью 12 ст. 19.5 КоАП РФ? (Ст. 19.5 часть 14.);Все указанные ответы верны;3
Что влечет за собой повторное совершение юридическим лицом административного правонарушения, предусмотренного частью 12 ст. 19.5 КоАП РФ? (Ст. 19.5 часть 14.);Наложение административного штрафа от ста пятидесяти тысяч до двухсот тысяч рублей;1
Какова административная ответственность юридического лица за непредставление или несвоевременное представление в государственный орган (должностному лицу) сведений (информации), представление которых предусмотрено законом? (Ст. 19.7.);Предупреждение или наложение административного штрафа от трех тысяч до пяти тысяч рублей;1
Что влечет за собой нарушение должностным лицом требований пожарной безопасности? (Ст. 20.4 часть 1.);Все указанные ответы верны;3
Что влечет за собой нарушение должностным лицом требований пожарной безопасности, совершенное в условиях особого противопожарного режима? (Ст. 20.4 часть 2.);Наложение административного штрафа от пятнадцати тысяч до тридцати тысяч рублей;1
Что влечет за собой нарушение юридическим лицом требований пожарной безопасности, совершенное в условиях особого противопожарного режима? (Ст. 20.4 часть 2.);Наложение административного штрафа от четырехсот тысяч до пятисот тысяч рублей;2
Что влечет за собой нарушение должностным лицом требований пожарной безопасности к внутреннему противопожарному водоснабжению? (Ст. 20.4 часть 3.);Наложение административного штрафа от шести тысяч до пятнадцати тысяч рублей;2
Что влечет за собой нарушение должностным лицом требований пожарной безопасности к электроустановкам зданий, сооружений и строений? (Ст. 20.4 часть 3.);Наложение административного штрафа от шести тысяч до пятнадцати тысяч рублей;3
Что влечет за собой нарушение должностным лицо требований пожарной безопасности к первичным средствам пожаротушения? (Ст. 20.4 часть 3.);Наложение административного штрафа от шести тысяч до пятнадцати тысяч рублей;3
Что влечет за собой нарушение юридическим лицом требований пожарной безопасности к внутреннему противопожарному водоснабжению, электроустановкам зданий, сооружений и строений? (Ст. 20.4 часть. 3.);Наложение административного штрафа от ста пятидесяти тысяч до двухсот тысяч рублей;2
Что влечет за собой нарушение должностным лицом требований пожарной безопасности к эвакуационным путям, эвакуационным и аварийным выходам? (Ст. 20.4 часть 4.);Наложение административного штрафа от пятнадцати тысяч до двадцати тысяч рублей;2
Что влечет за собой нарушение должностным лицом требований пожарной безопасности к системам автоматического пожаротушения и системам пожарной сигнализации, системам оповещения людей о пожаре? (Ст. 20.4 часть 4.);Наложение административного штрафа от пятнадцати тысяч до двадцати тысяч рублей;2
Что влечет за собой нарушение юридическим лицом требований пожарной безопасности к эвакуационным путям, эвакуационным и аварийным выходам? (Ст. 20.4 часть 4.);Наложение административного штрафа от ста пятидесяти тысяч до двухсот тысяч рублей;2
Что влечет за собой нарушение юридическим лицом требований пожарной безопасности к системам автоматического пожаротушения и системам пожарной сигнализации, системам оповещения людей о пожаре? (Ст. 20.4 часть 4.);Наложение административного штрафа от ста пятидесяти тысяч до двухсот тысяч рублей;2
Какова административная ответственность юридического лица за невыполнение установленных федеральными законами и иными нормативными правовыми актами РФ специальных условий (правил) эксплуатации технических систем управления гражданской обороны и объектов ГО? (Ст. 20.7 часть 1.);Наложение административного штрафа от пятидесяти тысяч до ста тысяч рублей;2
Что влечет за собой нарушение юридическим лицом требований пожарной безопасности, за исключением случаев, предусмотренных статьями 8.32, 11.16 и частями 3-8 статьи 20.4 Кодекса РФ об административных правонарушениях? (Ст. 20.4. часть 1.);Предупреждение или административный штраф от ста пятидесяти тысяч до двухсот тысяч рублей;3
Каким видам административной ответственности могут быть подвергнуты должностные лица за нарушение требований пожарной безопасности повлекшее возникновение пожара и уничтожение или повреждение чужого имущества либо причинение легкого или средней тяжести вреда здоровью человека? (Ст. 20.4. часть 6.);Наложение административного штрафа от сорока тысяч до пятидесяти тысяч рублей;2
Какова административная ответственность юридического лица за невыполнение предусмотренных законодательством обязанностей по защите населения и территорий от чрезвычайных ситуаций природного или техногенного характера, а равно невыполнение требований?  (Ст. 20.6.);Наложение административного штрафа от сорока тысяч до пятидесяти тысяч рублей;1
Какую административную ответственность влечет стрельба из оружия в населенных пунктах и в других не отведенных для этого местах, а равно в отведенных для этого местах с нарушением установленных правил? (ст. 20.13.);Влечет наложение административного штрафа в размере до одной тысячи рублей с конфискацией оружия и патронов к нему или без таково;5
Кому вручается копия протокола об административном правонарушении после его составления? (Ст. 28.2., ч.6.);Физическому лицу или законному представителю юридического лица, в отношении которых возбуждено дело об административном правонарушении, а также потерпевшему под расписку;3
